																																																	
xml-file	xml-ID		Titolo articolo in xml	CAVE!	Titolo PDF	Tipologia articolo	Settore	Lettera	N. articolo per app.	Rinvii a fine articolo	Rinvii all'interno dell'articolo (fino a vol. IX compreso)	Indicazione settore nel titolo art.	titolo art. integrale	titolo art. senza significato e m. morf.	Indicazione settore nel titolo art.	Etimo/etimi	Etimo 1	Etimo 2	Etimo 3	Etimo 4	Etimo 5	Etimo 6	Etimo 7	Etimo 8	Etimo 9	Etimo 10	Etimo 11	Etimo 12	Etimo 13	Etimo 14	m.morf.	Significato	Volume	Fascicolo	Data pubbl.	Nr. col. inizio	Nr. col. fine	Autore1	Autore2	Autore3	Autore4	Nome rimando 	Coord. rimando 	Note 	SGML/XML	PDF Scan	PDF Verlag	PDF Direzione	DOC
lei01	ya00037	10110.18	ablativus		ablativus		Latinismi	A					ablativus 'ablativo'	ablativus		ablativus	ablativus															"ablativo"	I	1	1979	110	110	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00038	10110.51	ablator		ablator		Latinismi	A					ablator 'chi toglie'	ablator		ablator	ablator															"chi toglie"	I	1	1979	110	111	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00039	10111.09	ablatus		ablatus		Latinismi	A		ablatio			ablatus 'tolto'	ablatus		ablatus	ablatus															"tolto"	I	1	1979	111	111	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00040	10111.28	abluere		abluere		Latinismi	A		ablutio			abluere 'detergere, purificare'	abluere		abluere	abluere															"detergere, purificare"	I	1	1979	111	111	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00041	10111.43	*ablumen		ablumen		Latinismi	A					*ablumen 'residuo da sciacquare'	*ablumen		*ablumen	*ablumen															"residuo da sciacquare"	I	1	1979	111	113	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00042	10113.49	ablūta		abluta		Latinismi	A					ablūta 'lavata'	ablūta		ablūta	ablūta															"lavata"	I	1	1979	113	116	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00043	10116.37	ablutio		ablutio		Latinismi	A					ablutio 'lavaggio, purificazione'	ablutio		ablutio	ablutio															"lavaggio, purificazione"	I	1	1979	116	117	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00044	10117.08	abnegare		abnegare		Latinismi	A					abnegare 'rinunziare'	abnegare		abnegare	abnegare															"rinunziare"	I	1	1979	117	117	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00045	10117.35	abnegatio		abnegatio		Latinismi	A					abnegatio 'diniego, negazione'	abnegatio		abnegatio	abnegatio															"diniego, negazione"	I	1	1979	117	117	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00046	10118.01	abnegator		abnegator		Latinismi	A					abnegator 'colui che rifiuta di riconoscere'	abnegator		abnegator	abnegator															"colui che rifiuta di riconoscere"	I	1	1979	118	118	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00047	10118.12	abnormis		abnormis		Latinismi	A		enormis, norma			abnormis 'abnorme'	abnormis		abnormis	abnormis															"abnorme"	I	1	1979	118	118	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00048	10118.32	ab oculis		ab oculis		Latinismi	A					ab oculis 'cieco'	ab oculis		ab oculis	ab oculis															"cieco"	I	1	1979	118	120	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00049	10120.22	abolere		abolere		Latinismi	A		abolitio			abolere 'annullare'	abolere		abolere	abolere															"annullare"	I	1	1979	120	121	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00050	10121.35	abolitio		abolitio		Latinismi	A		abolere			abolitio 'amnistia, revoca, abrogazione'	abolitio		abolitio	abolitio															"amnistia, revoca, abrogazione"	I	1	1979	121	122	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00051	10122.17	abolla		abolla		Latinismi	A					abolla 'ampia casacca'	abolla		abolla	abolla															"ampia casacca"	I	1	1979	122	122	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00052	10122.33	abominabilis		abominabilis		Latinismi	A		abominari, abominatio			abominabilis 'abominevole'	abominabilis		abominabilis	abominabilis															"abominevole"	I	1	1979	122	123	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00053	10123.4	abominari		abominari		Latinismi	A		abominabilis, abominatio			abominari 'detestare'	abominari		abominari	abominari															"detestare"	I	1	1979	123	125	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00054	10125.18	abominatio		abominatio		Latinismi	A		abominabilis, abominari			abominatio 'esecrazione'	abominatio		abominatio	abominatio															"esecrazione"	I	1	1979	125	126	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00055	10126.19	abonnis		abonnis		Latinismi	A					abonnis 'copricapo'	abonnis		abonnis	abonnis															"copricapo"	I	1	1979	126	128	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00056	10128.12	aborsus		aborsus		Latinismi	A		abortare, abortire, abortivus, abortus			aborsus 'aborto'	aborsus		aborsus	aborsus															"aborto"	I	1	1979	128	128	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00057	10128.24	abortare		abortare		Latinismi	A		aborsus, abortire, abortivus, abortus			abortare 'partorire anzitempo'	abortare		abortare	abortare															"partorire anzitempo"	I	1	1979	128	128	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00058	10129.01	abortio		abortio		Latinismi	A					abortio 'aborto'	abortio		abortio	abortio															"aborto"	I	1	1979	129	129	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00059	10129.13	abortire		abortire		Latinismi	A					abortire 'partorire anzitempo'	abortire		abortire	abortire															"partorire anzitempo"	I	1	1979	129	131	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00060	10131.06	abortivus		abortivus		Latinismi	A		aborsus, abortare, ahortire, abortus 			abortivus 'nato, partorito prematuramente'	abortivus		abortivus	abortivus															"nato, partorito prematuramente"	I	1	1979	131	131	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00061	10131.46	abortus		abortus		Latinismi	A		aborsus, abortare, abortio, abortire, abortivus			abortus 'aborto'	abortus		abortus	abortus															"aborto"	I	1	1979	131	133	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00062	10133.22	aboulía		aboulia		Latinismi	A				gr.	gr. aboulía 'mancanza di decisione; mancanza di volontà'	gr. aboulía	gr.	aboulía	aboulía															"mancanza di decisione; mancanza di volontà"	I	1	1979	133	133	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00063	10134.01	abracadabra		abracadabra		Latinismi	A					abracadabra 'formula mistica contenente le lettere ABCD'	abracadabra		abracadabra	abracadabra															"formula mistica contenente le lettere ABCD"	I	1	1979	134	134	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00064	10134.43	abradere		abradere		Latinismi	A		abrasio 			abradere 'radere'	abradere		abradere	abradere															"radere"	I	1	1979	134	135	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00065	10135.25	abrasio		abrasio		Latinismi	A		abradere			abrasio 'raschiatura'	abrasio		abrasio	abrasio															"raschiatura"	I	1	1979	135	135	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00066	10135.46	abraxas		abraxas		Latinismi	A		abracadabra 			abraxas 'Dio supremo'	abraxas		abraxas	abraxas															"Dio supremo"	I	1	1979	135	136	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00067	10136.23	abrenuntiare		abrenuntiare		Latinismi	A		ar. barnūs			abrenuntiare 'rinunziare'	abrenuntiare		abrenuntiare	abrenuntiare															"rinunziare"	I	1	1979	136	137	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00068	10137.13	abrogare		abrogare		Latinismi	A		abrogatio			abrogare 'annullare'	abrogare		abrogare	abrogare															"annullare"	I	1	1979	137	137	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00069	10137.44	abrogatio		abrogatio		Latinismi	A		abrogare 			abrogatio 'annullamento'	abrogatio		abrogatio	abrogatio															"annullamento"	I	1	1979	137	137	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00070	10138.01	abrotanum		abrotanum		Latinismi	A		aprotanum/aprotonum			abrotanum 'Artemisia abrotanum L.'	abrotanum		abrotanum	abrotanum															"Artemisia abrotanum L."	I	1	1979	138	141	Pfister, Max						Si segnala mancanza di voci in ver. digitale da colonna 138 a col. 265	xml-Trier	PDF Scan			
lei01	ya00071	10141.51	abruptus		abruptus		Latinismi	A					abruptus 'troncato, scosceso'	abruptus		abruptus	abruptus															"troncato, scosceso"	I	1	1979	141	142	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00072	10142.42	abscessus		abscessus		Latinismi	A					abscessus 'separazione; ascesso'	abscessus		abscessus	abscessus															"separazione; ascesso"	I	1	1979	142	143	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00073	10143.38	abscidere		abscidere		Latinismi	A					abscidere 'tagliar via'	abscidere		abscidere	abscidere															"tagliar via"	I	1	1979	143	143	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00074	10143.43	abscindere		abscindere		Latinismi	A		abscissio			abscindere 'tagliar via'	abscindere		abscindere	abscindere															"tagliar via"	I	1	1979	143	144	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00075	10144.18	abscissio		abscissio		Latinismi	A		abscindere			abscissio 'lo staccar via'	abscissio		abscissio	abscissio															"lo staccar via"	I	1	1979	144	144	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00076	10144.38	abscondere		abscondere		Latinismi	A		*mukyare, plattus 			abscondere 'nascondere'	abscondere		abscondere	abscondere															"nascondere"	I	1	1979	144	163	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00077	10163.37	absens		absens		Latinismi	A		absentare, absentia 			absens 'assente'	absens		absens	absens															"assente"	I	1	1979	163	164	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00078	10164.21	absentare		absentare		Latinismi	A					absentare 'essere assente; assentarsi'	absentare		absentare	absentare															"essere assente; assentarsi"	I	1	1979	164	166	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00079	10166.23	absentia		absentia		Latinismi	A		sine			absentia 'assenza'	absentia		absentia	absentia															"assenza"	I	1	1979	166	172	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00080	10173.01	absinthium		absinthium		Latinismi	A		gr. apsinthía, artemisia, magister, medicus, pes			absinthium 'assenzio'	absinthium		absinthium	absinthium															"assenzio"	I	1	1979	173	177	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00081	10177.5	absis (-ĭdem)		absis		Latinismi	A					absis (-ĭdem) 'arco, segmento di un cerchio; abside di una chiesa'	absis (-ĭdem)		absis, absĭdem	absis	absĭdem														"arco, segmento di un cerchio; abside di una chiesa"	I	1	1979	177	178	Pfister, Max						ATT.: controllare nota di Pfister su tomo fisico (corregge tit. articolo come segue: abs (-ĭda). 	xml-Trier	PDF Scan			
lei01	ya00082	10179.01	absolutio		absolutio		Latinismi	A					absolutio 'assoluzione'	absolutio		absolutio	absolutio															"assoluzione"	I	1	1979	179	179	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00083	10179.41	absolvere		absolvere		Latinismi	A		exsolvere, solvere 			absolvere 'sciogliere, liberare'	absolvere		absolvere	absolvere															"sciogliere, liberare"	I	1	1979	179	186	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00084	10186.26	absonus		absonus		Latinismi	A					absonus 'discordante'	absonus		absonus	absonus															"discordante"	I	1	1979	186	186	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00085	10186.37	absorbēre		absorbere		Latinismi	A					absorbēre 'ingoiare, assorbire'	absorbēre		absorbēre	absorbēre															"ingoiare, assorbire"	I	1	1979	186	189	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00086	10189.23	absque		absque		Latinismi	A					absque 'tolto, senza; inoltre'	absque		absque	absque															"tolto, senza; inoltre"	I	1	1979	189	189	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00087	10189.4	abstemius		abstemius		Latinismi	A					abstemius 'astemio'	abstemius		abstemius	abstemius															"astemio"	I	1	1979	189	190	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00088	10190.09	abstentio		abstentio		Latinismi	A		abstinens, abstinentia, abstinere			abstentio 'astensione'	abstentio		abstentio	abstentio															"astensione"	I	1	1979	190	190	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00089	10190.35	abstergere		abstergere		Latinismi	A		detergere, extergere, tergere			abstergere 'pulire'	abstergere		abstergere	abstergere															"pulire"	I	1	1979	190	191	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00090	10191.35	abstinens		abstinens		Latinismi	A		abstentio, abstinentia, abstinere			abstinens 'astinente'	abstinens		abstinens	abstinens															"astinente"	I	1	1979	191	192	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00091	10192.16	abstinentia		abstinentia		Latinismi	A		abstentio, abstinens, abstinere, continentia			abstinentia 'astinenza'	abstinentia		abstinentia	abstinentia															"astinenza"	I	1/2	1979/1980	192	193	Pfister, Max						Tra i rinvii, nel volume si trova anche continentia scritto a penna.	xml-Trier	PDF Scan			
lei01	ya00092	10193.15	abstinere		abstinere		Latinismi	A		abstentio, abstinens, abstinentia			abstinere 'astenersi'	abstinere		abstinere	abstinere															"astenersi"	I	2	1980	193	194	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00093	10194.41	abstrahere		abstrahere		Latinismi	A		extrahere 			abstrahere 'sottrarre'	abstrahere		abstrahere	abstrahere															"sottrarre"	I	2	1980	194	197	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00094	10197.33	abstrusus		abstrusus		Latinismi	A					abstrusus 'difficile, recondito'	abstrusus		abstrusus	abstrusus															"difficile, recondito"	I	2	1980	197	198	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00095	10198.17	absurdus		absurdus		Latinismi	A					absurdus 'stonato, assurdo'	absurdus		absurdus	absurdus															"stonato, assurdo"	I	2	1980	198	198	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00096	10199.01	abundantia		abundantia		Latinismi	A		abundare, abunde, abundus			abundantia 'abbondanza'	abundantia		abundantia	abundantia															"abbondanza"	I	2	1980	199	202	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00097	10202.42	abundare		abundare		Latinismi	A		abundantia, abunde, abundus, bonus			abundare 'abbondare'	abundare		abundare	abundare															"abbondare"	I	2	1980	202	209	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00098	10210.01	abunde		abunde		Latinismi	A		abundantia, abundare, abundus, ad satis, mundus			abunde 'in abbondanza'	abunde		abunde	abunde															"in abbondanza"	I	2	1980	210	211	Pfister, Max						Tra i rinvii, nel volume si trova anche mundus scritto a penna.	xml-Trier	PDF Scan			
lei01	ya00099	10212.01	abundus		abundus		Latinismi	A		abundantia, abundare, abunde			abundus 'traboccante'	abundus		abundus	abundus															"traboccante"	I	2	1980	212	212	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00100	10212.22	abusio		abusio		Latinismi	A					abusio 'abuso'	abusio		abusio	abusio															"abuso"	I	2	1980	212	212	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00101	10213.01	abusivus		abusivus		Latinismi	A					abusivus 'usato impropriamente'	abusivus		abusivus	abusivus															"usato impropriamente"	I	2	1980	213	213	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00102	10213.32	abusus		abusus		Latinismi	A		abusio, abusivus, germ. gabb			abusus 'consumo, uso eccessivo'	abusus		abusus	abusus															"consumo, uso eccessivo"	I	2	1980	213	215	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00103	10215.35	ábyssos		abyssos		Latinismi	A		abyssus		gr.	gr. ábyssos 'abisso'	gr. ábyssos	gr.	ábyssos	ábyssos															"abisso"	I	2	1980	215	216	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00104	10216.11	abyssus		abyssus		Latinismi	A		ábyssos			abyssus 'abisso; inferno'	abyssus		abyssus	abyssus															"abisso; inferno"	I	2	1980	216	225	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00105	10225.17	ac		ac		Latinismi	A		ad, non, quantum, quomodo 			ac 'e (particella copulativa che unisce singoli vocaboli e frasi)'	ac		ac	ac															"e (particella copulativa che unisce singoli vocaboli e frasi)"	I	2	1980	225	227	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00106	10227.35	acacia		acacia		Latinismi	A					acacia 'acacia'	acacia		acacia	acacia															"acacia"	I	2	1980	227	231	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00107	10231.41	academia		academia		Latinismi	A		academicus 			academia 'giardino sacro dove Platone insegnava'	academia		academia	academia															"giardino sacro dove Platone insegnava"	I	2	1980	231	234	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00108	10235.01	academicus		academicus		Latinismi	A					academicus 'che fa parte ed è proprio dell'Accademia platonica'	academicus		academicus	academicus															"che fa parte ed è proprio dell'Accademia platonica"	I	2	1980	235	236	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00109	10236.12	acanthion		acanthion		Latinismi	A		acanthus			acanthion 'erba bienne che assomiglia alla spina alba'	acanthion		acanthion	acanthion															"erba bienne che assomiglia alla spina alba"	I	2	1980	236	236	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00110	10236.33	acanthus		acanthus		Latinismi	A		gr. akánthion, ákanthos			acanthus 'acanto'	acanthus		acanthus	acanthus															"acanto"	I	2	1980	236	237	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00111	10237.18	acatium		acatium		Latinismi	A		acatus 			acatium 'sorta d'imbarcazione'	acatium		acatium	acatium															"sorta d'imbarcazione"	I	2	1980	237	237	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00112	10237.35	acatus		acatus		Latinismi	A		acatium 			acatus 'sorta d'imbarcazione'	acatus		acatus	acatus															"sorta d'imbarcazione"	I	2	1980	237	237	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00113	10237.51	accadere		accadere		Latinismi	A		cadere			accadere 'avvenire, succedere'	accadere		accadere	accadere															"avvenire, succedere"	I	2	1980	237	239	Pfister, Max							xml-Trier	PDF Scan			
